forest_type,genus,species,common_name
Oca,carpinus,betulus,hornbeam
QR,quercus,robur,oak
QC,quercus,cerris,oak_with_cerris
FS,fagus,silvatica,beech_forests
CS,castanea,sativa,chestnut
PA,picea,abies,norway_spruce
QI,quercus,ilex,holm_oak
LD,larix,decidua,larch_and_stone_pine_forests
PN,pinus,nigra,black_pine
QS,quercus,suber,cork_oak
AA,abies,alba,silver_fir
PS,pinus,sylvestris,scots_pine
PC,pinus,cembra,mountain_pine
BT,betula,NaN,birch
DF,pseudotsuga,menziesii,douglas_fir
PT,populus,tremula,poplar
FO,fraxinus,excelsior,eastern_ash
AG,alnus,glutinosa,common_alder
AI,alnus,incana,grey_alder
CA,pinus,pinaster,es_maritime_pine_monterey_pine_and_others
PP,pinus,pinea,stone_pine
CB,carpinus,betulus,common_hornbeam
PM,pinus,pinaster,maritime_pine
QP,quercus,petraea,sessile_oak
RP,robinia,pseudoacacia,locust
QH,quercus,ilex,holm_oak
EG,eucalyptus,NaN,eucalyptus
MP,pinus,NaN,mediterranean_pine
CM,NaN,NaN,es_mediterranean_scots_pine_and_others
BA,NaN,NaN,es_atlantic_broad_leaves_eucalypt_and_others
BM,NaN,NaN,es_mediterranean_holm_oak_and_others
OE,NaN,NaN,other_evergreen
OC,NaN,NaN,other_coniferous
OS,NaN,NaN,other_bl_softwood_betula_populus_alnus
OL,NaN,NaN,other_deciduous_long_life
OB,NaN,NaN,mixed_deciduous
RF,NaN,NaN,riparian
BP,NaN,NaN,NaN
CP,NaN,NaN,NaN
ConBroad,NaN,NaN,NaN
PredBroad,NaN,NaN,predominantly_broadleaved
PredCon,NaN,NaN,predominantly_coniferous